NO,文案
1,"1,不畏人言，不惧岁月

2,世界上最大的监狱就是你的内心，走不出自己的执念，到哪里都是囚徒。

3,任何事情只要心甘情愿就会变的简单。

4,你织的茧，得你自己去咬破！拯救自己的，只有自己。

5,不可能的事别等别问别回忆别期待。

"
2,"1,对任何热爱的事物都要全力以赴

2,可以再浪漫些日落晚风和鲜花。

3,命运有变数，尽力当永恒。

4,努力让自己发光对的人才会迎光而来。

5,与理想平等交易同喧闹保持距离。

"
3,"1,你多学一样本事，就少说一句求人的话。

2,做你自己吧没有很好也没关系。

3,不要太想念过去，因它会给你带来悲伤；用微笑活在当下，它会带来喜乐。

4,别总是抱怨生活不够幸运，是你欠了生活一份努力，每一个你讨厌的现在，都有一个不够努力的曾经，未来美不美，取决于你现在拼不拼。

5,你未来的样子藏在你现在的努力里。

"
4,"1,一定要变好呀，我才不要做个委屈鬼呀。

2,你要像太阳一样有起有落却不失光彩。

3,如果你看到前面的阴影，别怕，那是因为你背后有阳光。

4,不论做什么事，都要相信你自己，别让别人的一句话将你击倒。人生没有对错，只有选择后的坚持，不后悔，走下去，走着走着，花就开了。

5,乾坤未定，你我皆是黑马!

"
5,"1,偷偷厉害万事尽可期待。

2,努力只能及格，拼命才有能优秀。

3,当下每一次想要努力的念头，都是未来的你在求救。

4,如果事情不能用微笑面对，那就用沉默去对抗吧！凡是看淡一点，再淡一点，拳头般大的心，承受不了那么多。

5,人生难免经受挫折，风雨过后就是彩虹；生活难免遭受苦难，雨过天晴终有阳光。

"
6,"1,别让平淡生活耗尽所有向往

2,你走过的路，会成为回忆里的风景；你所有经历，会成为你的财富；你曾经的负担，会成为你的礼物；你受的苦，会照亮你未来的路。

3,当你的才华撑不起你的野心时，那你就应该静下心来学习；当你的经济还撑不起你的梦想时，那你就应该踏实的去工作。

4,一直在逞强，只是自己知道，如若不坚强，没人会替我坚强。

5,一直往前走，就会迎面撞上生活给你的糖。

"
7,"1,坦坦荡荡且利落结束所有不值得的关系。

2,好好照顾自己，不要奢望别人帮忙，别人很忙

3,南来北往，不辜负生活，不迷失方向

4,只有自己不可辜负，别被人误，别被己误。

5,同是寒窗苦读，怎愿甘拜下风。

"
8,"1,好听的话不要听，感受不到就是没有

2,旁人只看见了你的疤，却永远感受不到你的疼

3,不管你承不承认，人确实是经历了一些事之后，就悄悄地换了一种性格。

4,只要还有明天，今天就永远是起跑线。

5,有些事情不能尽你心愿，就是在提醒你该转弯了，如果事事都如意，那就不叫生活了，所以睡前原谅一切，醒来不问过往。

"
9,"1,好好爱自己，把期望降低

2,坚持的人，不一定会成功。放弃的人，一定不会成功。

3,喜欢自己，比喜欢世界重要

4,洞穴是井的基础，不断挖掘就能成万丈深井。最吃亏的地方是挑三歇五，没有坚持。

5,生活本就与众不同，何必追求要和别人一样。

"
10,"1,睡前原谅一切，醒来就是重生。

2,外向是生活所需，孤独是自我享受

3,没人嘲笑你的梦想，他们只是嘲笑你的实力。

4,认识自己，降伏自己，改变自己，才能改变别人。当你跌到谷底时，那正表示，你只能往上，不能往下!、每一种创伤，都是一种成熟。

5,无论你犯了多少错，或者进步得有多慢，你都走在了那些不曾尝试的人的前面。

"
11,"1,生活中只有一种英雄主义，那就是认清生活的真相之后依然热爱生活。

2,喜欢的东西自己去买，不要期望别人送给你

3,运气是努力的附属品，没有经过实力的积累，给你运气你也抓不住，你必须很努力，才能遇上好运气。

4,太舒服就是走下坡路的开始。

5,努力是一种生活态度，与年龄无关。所以，无论什么时候，千万不可放纵自己，给自己找懒散和拖延的借口，对自己严格一点儿，时间长了，努力便成为一种心理习惯，一种生活方式！

"
12,"1,把依赖变少，你会过得很好

2,给所有不开心的贴上过去的标签。

3,第一个青春是上帝给的，第二个的青春是靠自己努力的。

4,当你选定一条路，另一条路的风景便与你无关

5,没有人会一直顺利，愿你更加强大，然后有一天，你可以笑着讲述那些曾让你哭的瞬间。

"
13,"1,能治愈你的从来不是时间，而是明白

2,熬得住无人问津的寂寞，才配拥有诗和远方，其实一直陪着你的，都是那个了不起的自己。

3,生活再糟糕也不妨碍你变得更好。

4,遗憾归遗憾，但总不能一直停留在原地吧

5,不是除了你，我就没人要了。只是除了你，我谁都不想要。

"
14,"1,有些东西根本不配占据你的情绪，人生就是一场体验，请你尽兴。

2,少女的征途是星辰大海。

3,有足够的实力，原则和底线才会被尊重。

4,鼓起勇气说再见便会被奖励新的开始。

5,眼睛可以近视，目光不能短浅。

"
15,"1,尽力之后选择随缘，毕竟人的手就那么大，握不住的东西太多了，你要学会和自己和解。

2,请成为自己心目中那个理想的大人。

3,没有结局的故事太多，你要习惯相遇和离别

4,往后的日子都是崭新的，就不要回头看了

5,永远不要以貌取人，慢慢地说，但要迅速的想。对一个年轻人而言最重要的是个人价值的增加。人生应如蜡烛一样，从头燃到底，永远都是光明的。

"
16,"1,无论你经历了什么，都别让自己忘记了快乐，爱自己爱生活。

2,我们何必为人生的片段而哭泣我们整个生命都催人泪下。

3,愿你有前进一寸的勇气，亦有后退一尺的从容。 

4,路是自己选的，没有输赢，只有值不值得，任何经历过的事情，不是得到就是学到。

5,不必介怀别人说了什么，怎么评价你。你就是你，唯一的你、独特的你，无可替代。

"
17,"1,生活就是这样，别人只看结果，自己独撑过程

2,把耐心留住，惊喜会慢慢酝酿出来。

3,风华正茂的年纪还是先好好爱自己。

4,我们谁也没有办法，活成人人都满意的样子

5,慢也好步子小也好是在往前走就好。

"
18,"1,自己要先看得起自己，别人才会看得起你。

2,把努力当成你的一种习惯，而不是一时的热血。

3,真正的勇气，不是离开。是承担以及不再寻求理解，不再试图求证或者解释。即便有疑问也可慢慢等到答案。很有可能最终是自己答题。

4,照顾好自己的健康和情绪，这场人生你就赢了一大半，其余的其余，人生自由安排。

5,接受自己的普通，然后拼尽全力去与众不同

"
19,"1,那些门槛，如果你跨过去了那就是门，没有跨过去那就是坎儿。

2,我好像从来没有把事情做好过，书没读好，钱没赚到，也没有成为谁的偏爱和例外，更没有成为自己想要成为的样子。

3,那些刻苦铭心的日子,总会在未来某一天闪闪发光。

4,错过了日落余晖记得还有满天星辰。

5,活到现在已经不再矫情了，遇见什么无需废话，扛下来就是，再寄希望与他人那就是过错了。

"
20,"1,收起羡慕别人的目光去努力。

2,没有真正开心的人，只有比较想得开的人

3,你优秀了，自然有对的人与你并肩。还是先想着如何使自己变得更优秀吧，别整天奢望会遇见什么对的人，你还太年轻，就算遇见了也抓不住。

4,活得像个旁现者会轻松很多。

5,爱自己是终身浪漫的开始。

"
